%ARFF automatically created from Dataset

@RELATION test
@ATTRIBUTE date {september,august,july,may,june,october,april,?}
@ATTRIBUTE plantstand { lt-normal, normal, ?}
@ATTRIBUTE precip { gt-norm, norm, lt-norm, ?}
@ATTRIBUTE temp { norm, lt-norm, gt-norm, ?}
@ATTRIBUTE hail { yes, ?, no}
@ATTRIBUTE crophist { same-lst-sev-yrs, same-lst-yr, diff-lst-year, same-lst-two-yrs, ?}
@ATTRIBUTE areadamaged { upper-areas, whole-field, low-areas, scattered, ?}
@ATTRIBUTE severity { minor, pot-severe, ?, severe}
@ATTRIBUTE seedtmt { none, fungicide, other, ?}
@ATTRIBUTE germination { lt-80, 90-100, 80-89, ?}
@ATTRIBUTE plantgrowth { norm, abnorm, ?}
@ATTRIBUTE leaves { abnorm, norm}
@ATTRIBUTE leafspotshalo { no-yellow-halos, absent, yellow-halos, ?}
@ATTRIBUTE leafspotsmarg { w-s-marg, dna, ?, no-w-s-marg}
@ATTRIBUTE leafspotsize { gt-1/8, dna, ?, lt-1/8}
@ATTRIBUTE leafshread { absent, present, ?}
@ATTRIBUTE leafmalf { absent, ?, present}
@ATTRIBUTE leafmild { absent, upper-surf, lower-surf, ?}
@ATTRIBUTE stem { abnorm, norm, ?}
@ATTRIBUTE lodging { yes, no, ?}
@ATTRIBUTE stemcankers { above-sec-nde, absent, below-soil, ?, above-soil}
@ATTRIBUTE cankerlesion { dk-brown-blk, tan, dna, brown, ?}
@ATTRIBUTE fruitingbodies { absent, present, ?}
@ATTRIBUTE externaldecay { firm-and-dry, absent, ?, watery}
@ATTRIBUTE mycelium { absent, ?, present}
@ATTRIBUTE intdiscolor { none, brown, ?, black}
@ATTRIBUTE sclerotia { absent, ?, present}
@ATTRIBUTE fruitpods { diseased, norm, dna, ?, few-present}
@ATTRIBUTE fruitspots { colored, dna, absent, ?, brown-w/blk-specks}
@ATTRIBUTE seed { norm, ?, abnorm}
@ATTRIBUTE moldgrowth { absent, ?, present}
@ATTRIBUTE seeddiscolor { absent, ?, present}
@ATTRIBUTE seedsize { norm, ?, lt-norm}
@ATTRIBUTE shriveling { absent, ?, present}
@ATTRIBUTE roots { norm, rotted, galls-cysts, ?}
@ATTRIBUTE class { frog-eye-leaf-spot, brown-stem-rot, alternarialeaf-spot, rhizoctonia-root-rot, brown-spot, diaporthe-stem-canker, phytophthora-rot, purple-seed-stain, powdery-mildew, downy-mildew, cyst-nematode, anthracnose, bacterial-blight, bacterial-pustule, phyllosticta-leaf-spot, charcoal-rot, diaporthe-pod-&-stem-blight, 2-4-d-injury, herbicide-injury}

@DATA
october, normal, gt-norm, lt-norm, no, same-lst-two-yrs, upper-areas, minor, none, 90-100, norm, norm, absent, dna, dna, absent, absent, absent, abnorm, no, absent, tan, absent, absent, absent, none, absent, diseased, colored, abnorm, absent, present, norm, absent, norm, purple-seed-stain
september, lt-normal, gt-norm, norm, no, diff-lst-year, scattered, pot-severe, fungicide, 80-89, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, abnorm, absent, present, norm, absent, norm, alternarialeaf-spot
october, normal, lt-norm, norm, no, same-lst-yr, low-areas, pot-severe, none, lt-80, norm, abnorm, absent, dna, dna, absent, absent, upper-surf, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, powdery-mildew
august, lt-normal, gt-norm, gt-norm, yes, same-lst-two-yrs, low-areas, minor, fungicide, lt-80, norm, abnorm, yellow-halos, w-s-marg, gt-1/8, absent, absent, lower-surf, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, abnorm, present, absent, norm, absent, norm, downy-mildew
august, normal, gt-norm, norm, yes, same-lst-two-yrs, upper-areas, minor, none, 80-89, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot
august, ?, ?, ?, ?, same-lst-two-yrs, low-areas, ?, ?, ?, abnorm, abnorm, ?, ?, ?, ?, ?, ?, norm, ?, ?, ?, ?, ?, ?, ?, ?, few-present, ?, abnorm, absent, ?, lt-norm, ?, galls-cysts, cyst-nematode
october, normal, gt-norm, norm, yes, same-lst-sev-yrs, scattered, pot-severe, fungicide, 80-89, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, no, above-sec-nde, brown, present, firm-and-dry, absent, none, absent, norm, dna, norm, absent, absent, norm, absent, norm, diaporthe-stem-canker
september, normal, gt-norm, gt-norm, yes, same-lst-two-yrs, upper-areas, pot-severe, none, 90-100, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot
august, normal, norm, lt-norm, no, same-lst-two-yrs, whole-field, pot-severe, fungicide, lt-80, abnorm, norm, absent, dna, dna, absent, absent, absent, abnorm, no, absent, tan, absent, absent, absent, brown, absent, norm, dna, norm, absent, absent, norm, absent, norm, brown-stem-rot
september, normal, gt-norm, norm, yes, same-lst-sev-yrs, whole-field, pot-severe, fungicide, 90-100, norm, norm, absent, dna, dna, absent, absent, absent, abnorm, yes, above-sec-nde, dk-brown-blk, present, absent, absent, none, absent, diseased, brown-w/blk-specks, abnorm, present, absent, lt-norm, present, norm, anthracnose
june, normal, norm, norm, yes, same-lst-two-yrs, upper-areas, pot-severe, other, lt-80, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot
august, normal, norm, gt-norm, yes, same-lst-sev-yrs, upper-areas, minor, none, 80-89, norm, abnorm, yellow-halos, w-s-marg, lt-1/8, present, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, bacterial-blight
september, lt-normal, gt-norm, norm, yes, same-lst-sev-yrs, whole-field, pot-severe, none, lt-80, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, brown, present, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot
september, lt-normal, norm, norm, yes, same-lst-two-yrs, scattered, minor, fungicide, lt-80, norm, abnorm, yellow-halos, no-w-s-marg, lt-1/8, present, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, rotted, bacterial-pustule
september, normal, gt-norm, norm, no, same-lst-sev-yrs, scattered, pot-severe, fungicide, 80-89, abnorm, abnorm, no-yellow-halos, w-s-marg, lt-1/8, present, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, bacterial-blight
october, normal, norm, gt-norm, no, same-lst-sev-yrs, whole-field, minor, other, 90-100, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, present, norm, absent, norm, alternarialeaf-spot
april, normal, gt-norm, norm, yes, same-lst-sev-yrs, whole-field, pot-severe, fungicide, lt-80, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, above-soil, dk-brown-blk, absent, firm-and-dry, absent, none, absent, norm, absent, abnorm, present, absent, lt-norm, absent, norm, anthracnose
september, lt-normal, gt-norm, norm, yes, same-lst-two-yrs, whole-field, minor, fungicide, lt-80, norm, abnorm, yellow-halos, w-s-marg, gt-1/8, absent, absent, lower-surf, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, abnorm, present, absent, norm, absent, norm, downy-mildew
august, normal, gt-norm, norm, yes, same-lst-yr, upper-areas, pot-severe, none, 90-100, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot
september, normal, gt-norm, gt-norm, yes, same-lst-yr, whole-field, minor, fungicide, 90-100, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot
september, normal, norm, norm, yes, same-lst-two-yrs, low-areas, minor, none, 90-100, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, brown, absent, firm-and-dry, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, frog-eye-leaf-spot
june, lt-normal, gt-norm, norm, ?, same-lst-yr, low-areas, ?, ?, ?, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, ?, above-sec-nde, dk-brown-blk, ?, absent, absent, none, absent, ?, ?, ?, ?, ?, ?, ?, rotted, phytophthora-rot
july, normal, gt-norm, lt-norm, no, same-lst-two-yrs, upper-areas, pot-severe, none, 80-89, norm, abnorm, yellow-halos, w-s-marg, gt-1/8, absent, absent, lower-surf, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, abnorm, present, absent, norm, absent, norm, downy-mildew
june, lt-normal, norm, norm, yes, same-lst-two-yrs, upper-areas, pot-severe, fungicide, 80-89, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, present, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, phyllosticta-leaf-spot
september, normal, gt-norm, norm, yes, same-lst-sev-yrs, scattered, minor, fungicide, 90-100, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, present, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot
august, normal, lt-norm, norm, yes, same-lst-yr, scattered, pot-severe, none, 90-100, norm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, absent, dna, absent, absent, absent, brown, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-stem-rot
september, lt-normal, gt-norm, gt-norm, yes, same-lst-sev-yrs, upper-areas, minor, none, lt-80, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot
july, lt-normal, gt-norm, gt-norm, no, same-lst-two-yrs, scattered, pot-severe, none, lt-80, abnorm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, frog-eye-leaf-spot
august, normal, lt-norm, gt-norm, yes, same-lst-sev-yrs, whole-field, pot-severe, fungicide, 80-89, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, absent, tan, absent, absent, absent, black, present, norm, dna, norm, absent, absent, norm, absent, norm, charcoal-rot
may, lt-normal, norm, gt-norm, ?, same-lst-sev-yrs, scattered, ?, ?, lt-80, norm, norm, ?, ?, ?, ?, ?, ?, abnorm, ?, absent, dna, present, absent, absent, none, absent, diseased, brown-w/blk-specks, norm, present, present, lt-norm, present, ?, diaporthe-pod-&-stem-blight
may, normal, gt-norm, norm, yes, same-lst-yr, low-areas, pot-severe, none, 90-100, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, present, absent, absent, abnorm, yes, above-sec-nde, brown, present, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot
september, lt-normal, gt-norm, norm, yes, same-lst-sev-yrs, whole-field, severe, none, lt-80, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, absent, tan, present, firm-and-dry, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot
september, normal, gt-norm, norm, yes, same-lst-yr, upper-areas, minor, none, 90-100, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, dk-brown-blk, absent, firm-and-dry, absent, none, absent, diseased, colored, norm, absent, absent, norm, absent, norm, frog-eye-leaf-spot
july, normal, lt-norm, norm, no, diff-lst-year, upper-areas, minor, none, 80-89, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, present, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, phyllosticta-leaf-spot
august, normal, gt-norm, norm, yes, same-lst-two-yrs, scattered, severe, none, lt-80, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, above-sec-nde, brown, present, firm-and-dry, absent, none, absent, norm, dna, norm, absent, absent, norm, absent, norm, diaporthe-stem-canker
june, normal, norm, lt-norm, yes, diff-lst-year, scattered, minor, none, 90-100, norm, abnorm, yellow-halos, no-w-s-marg, lt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, bacterial-pustule
june, lt-normal, gt-norm, lt-norm, yes, same-lst-yr, low-areas, severe, none, lt-80, abnorm, norm, absent, dna, dna, absent, absent, absent, abnorm, yes, below-soil, brown, absent, firm-and-dry, absent, none, absent, dna, dna, norm, absent, absent, norm, absent, norm, rhizoctonia-root-rot
august, lt-normal, norm, norm, ?, same-lst-two-yrs, low-areas, ?, ?, ?, abnorm, abnorm, ?, ?, ?, ?, ?, ?, abnorm, ?, above-sec-nde, dk-brown-blk, ?, absent, absent, none, absent, ?, ?, ?, ?, ?, ?, ?, rotted, phytophthora-rot
october, ?, ?, ?, ?, ?, upper-areas, ?, ?, ?, ?, abnorm, absent, dna, dna, ?, present, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, 2-4-d-injury
july, normal, lt-norm, gt-norm, no, diff-lst-year, upper-areas, pot-severe, none, 80-89, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, absent, tan, absent, absent, absent, black, present, norm, dna, norm, absent, absent, norm, absent, norm, charcoal-rot
april, lt-normal, gt-norm, lt-norm, yes, diff-lst-year, low-areas, pot-severe, fungicide, lt-80, abnorm, norm, absent, dna, dna, absent, absent, absent, abnorm, yes, below-soil, brown, absent, firm-and-dry, absent, none, absent, dna, dna, norm, absent, absent, norm, absent, norm, rhizoctonia-root-rot
october, lt-normal, gt-norm, gt-norm, yes, same-lst-sev-yrs, whole-field, minor, fungicide, lt-80, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, dk-brown-blk, absent, firm-and-dry, absent, none, absent, diseased, colored, norm, absent, absent, norm, absent, norm, frog-eye-leaf-spot
august, normal, gt-norm, norm, yes, diff-lst-year, low-areas, pot-severe, fungicide, 90-100, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, frog-eye-leaf-spot
july, normal, gt-norm, norm, no, same-lst-yr, scattered, pot-severe, none, 80-89, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, present, lower-surf, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, abnorm, present, absent, norm, absent, norm, downy-mildew
october, normal, gt-norm, gt-norm, yes, same-lst-sev-yrs, upper-areas, minor, fungicide, 90-100, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot
september, normal, gt-norm, gt-norm, yes, same-lst-sev-yrs, low-areas, minor, none, 80-89, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot
september, lt-normal, gt-norm, gt-norm, no, same-lst-two-yrs, upper-areas, pot-severe, none, 80-89, norm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, above-sec-nde, brown, present, firm-and-dry, absent, none, absent, diseased, brown-w/blk-specks, norm, absent, absent, norm, absent, norm, anthracnose
september, normal, gt-norm, norm, yes, same-lst-two-yrs, low-areas, minor, none, 90-100, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot
may, lt-normal, gt-norm, lt-norm, yes, same-lst-two-yrs, low-areas, severe, fungicide, 80-89, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, above-soil, dk-brown-blk, absent, absent, absent, none, absent, dna, dna, norm, absent, absent, norm, absent, norm, phytophthora-rot
august, normal, gt-norm, norm, no, diff-lst-year, scattered, pot-severe, none, 90-100, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, abnorm, absent, present, norm, absent, norm, alternarialeaf-spot
august, normal, gt-norm, norm, yes, same-lst-two-yrs, whole-field, pot-severe, fungicide, 80-89, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, brown, absent, firm-and-dry, absent, none, absent, diseased, colored, norm, absent, absent, norm, absent, norm, frog-eye-leaf-spot
august, normal, norm, norm, yes, same-lst-sev-yrs, whole-field, pot-severe, none, 80-89, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot
june, lt-normal, norm, norm, ?, diff-lst-year, low-areas, ?, ?, ?, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, ?, above-soil, dk-brown-blk, ?, absent, absent, none, absent, ?, ?, ?, ?, ?, ?, ?, rotted, phytophthora-rot
june, normal, gt-norm, norm, yes, same-lst-two-yrs, upper-areas, pot-severe, none, 80-89, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, present, absent, absent, abnorm, yes, above-sec-nde, brown, present, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot
june, lt-normal, gt-norm, norm, yes, same-lst-sev-yrs, whole-field, severe, other, lt-80, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, present, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot
august, normal, gt-norm, norm, yes, same-lst-yr, whole-field, pot-severe, fungicide, 90-100, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, frog-eye-leaf-spot
august, normal, gt-norm, gt-norm, yes, same-lst-two-yrs, whole-field, pot-severe, fungicide, 80-89, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, dk-brown-blk, absent, firm-and-dry, absent, none, absent, diseased, colored, norm, absent, absent, norm, absent, norm, frog-eye-leaf-spot
june, lt-normal, gt-norm, gt-norm, ?, same-lst-sev-yrs, low-areas, ?, ?, ?, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, ?, above-soil, dk-brown-blk, ?, absent, absent, none, absent, ?, ?, ?, ?, ?, ?, ?, rotted, phytophthora-rot
september, lt-normal, lt-norm, lt-norm, yes, same-lst-sev-yrs, upper-areas, pot-severe, none, 90-100, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, no, absent, tan, absent, absent, absent, brown, absent, norm, dna, norm, absent, absent, norm, absent, norm, brown-stem-rot
july, normal, gt-norm, norm, yes, same-lst-two-yrs, upper-areas, pot-severe, none, 80-89, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, abnorm, yes, above-sec-nde, brown, present, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot
may, lt-normal, gt-norm, norm, ?, diff-lst-year, low-areas, ?, ?, ?, abnorm, abnorm, ?, ?, ?, ?, ?, ?, abnorm, ?, absent, dk-brown-blk, ?, watery, absent, none, absent, ?, ?, ?, ?, ?, ?, ?, rotted, phytophthora-rot
august, normal, gt-norm, norm, yes, same-lst-yr, whole-field, pot-severe, none, 90-100, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, present, absent, absent, abnorm, yes, above-sec-nde, brown, present, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, brown-spot
july, ?, ?, ?, ?, same-lst-sev-yrs, upper-areas, ?, ?, ?, abnorm, abnorm, ?, ?, ?, ?, ?, ?, norm, ?, ?, ?, ?, ?, ?, ?, ?, few-present, ?, abnorm, absent, ?, lt-norm, ?, galls-cysts, cyst-nematode
june, normal, gt-norm, norm, no, same-lst-sev-yrs, low-areas, pot-severe, fungicide, 80-89, norm, abnorm, yellow-halos, no-w-s-marg, lt-1/8, present, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, abnorm, present, present, norm, absent, norm, bacterial-pustule
july, normal, lt-norm, gt-norm, yes, same-lst-two-yrs, upper-areas, pot-severe, none, lt-80, abnorm, abnorm, absent, dna, dna, absent, absent, absent, abnorm, yes, absent, tan, absent, absent, absent, black, present, norm, dna, norm, absent, absent, norm, absent, norm, charcoal-rot
october, ?, gt-norm, gt-norm, ?, same-lst-two-yrs, whole-field, ?, ?, ?, norm, norm, ?, ?, ?, ?, ?, ?, abnorm, ?, absent, dna, present, absent, absent, none, absent, diseased, brown-w/blk-specks, abnorm, present, present, lt-norm, present, ?, diaporthe-pod-&-stem-blight
october, lt-normal, gt-norm, gt-norm, yes, same-lst-yr, low-areas, minor, fungicide, lt-80, norm, abnorm, no-yellow-halos, w-s-marg, gt-1/8, absent, absent, absent, norm, yes, absent, dna, absent, absent, absent, none, absent, norm, absent, norm, absent, absent, norm, absent, norm, alternarialeaf-spot
